CustomerID,LName,FName,Email,Tel,AccountID,AccountName,Password
CUST00001,Phan Thị,Giang,giang.phan@example.com,0937123145,ACC00001,phan_giang19,JXxHAUJ8
CUST00002,Lê Hữu,Ngọc,ngoc.le@example.com,0996701568,ACC00002,le_ngoc73,8bXhmyRg
CUST00003,Đỗ Đức,Ngọc,ngoc.do@example.com,0978664854,ACC00003,do_ngoc5,LH638uCW
CUST00004,Đặng Thành,Ngọc,ngoc.dang@example.com,0958357755,ACC00004,dang_ngoc98,wSAs361O
CUST00005,Nguyễn Hữu,Giang,giang.nguyen@example.com,0921033651,ACC00005,nguyen_giang80,JsVrrgKM
CUST00006,Vũ Thị,Dũng,dung.vu@example.com,0982607875,ACC00006,vu_dung1,psIVjUhy
CUST00007,Đặng Văn,Dũng,dung.dang@example.com,0970890858,ACC00007,dang_dung24,l3D1vbBT
CUST00008,Nguyễn Trung,Linh,linh.nguyen@example.com,0943818806,ACC00008,nguyen_linh1,i0kGRBVm
CUST00009,Phạm Trung,Bảo,bao.pham@example.com,0931312443,ACC00009,pham_bao29,r2tF6iUL
CUST00010,Trần Thanh,Minh,minh.tran@example.com,0939826891,ACC00010,tran_minh39,vPQqVHcq
CUST00011,Nguyễn Thanh,Hiếu,hieu.nguyen@example.com,0974308072,ACC00011,nguyen_hieu40,sMUV0Ibb
CUST00012,Bùi Thành,Bảo,bao.bui@example.com,0949710882,ACC00012,bui_bao31,CmsUCEx8
CUST00013,Nguyễn Thanh,Hiếu,hieu.nguyen@example.com,0984564550,ACC00013,nguyen_hieu59,Yw5Cp7Gw
CUST00014,Phan Thanh,Châu,chau.phan@example.com,0927852542,ACC00014,phan_chau11,GkdWdXsT
CUST00015,Đặng Văn,Bảo,bao.dang@example.com,0968973075,ACC00015,dang_bao15,MKcUF6B8
CUST00016,Đỗ Hữu,Anh,anh.do@example.com,0963874523,ACC00016,do_anh24,2Ghx7e8U
CUST00017,Lê Trung,Hiếu,hieu.le@example.com,0963824175,ACC00017,le_hieu36,f1N4VGI4
CUST00018,Phạm Thành,Hiếu,hieu.pham@example.com,0982856531,ACC00018,pham_hieu76,Ptfn9vQc
CUST00019,Phạm Văn,Bảo,bao.pham@example.com,0926644581,ACC00019,pham_bao37,WlXnvVva
CUST00020,Đỗ Thành,Minh,minh.do@example.com,0962167164,ACC00020,do_minh96,Ky014Ped
CUST00021,Nguyễn Thành,Hiếu,hieu.nguyen@example.com,0976833699,ACC00021,nguyen_hieu39,HRoL1SOE
CUST00022,Bùi Hữu,Ngọc,ngoc.bui@example.com,0956935416,ACC00022,bui_ngoc1,VThtQg6H
CUST00023,Bùi Đức,Anh,anh.bui@example.com,0925701605,ACC00023,bui_anh74,TIb2fkhS
CUST00024,Lê Đức,Châu,chau.le@example.com,0961121742,ACC00024,le_chau28,T5c3Q1EM
CUST00025,Phan Minh,Châu,chau.phan@example.com,0939747185,ACC00025,phan_chau48,O0OOI3ni
CUST00026,Phạm Minh,Châu,chau.pham@example.com,0928848752,ACC00026,pham_chau34,P44erQLt
CUST00027,Bùi Trung,Giang,giang.bui@example.com,0979180461,ACC00027,bui_giang54,2a6wUQoN
CUST00028,Đỗ Đức,Minh,minh.do@example.com,0933963001,ACC00028,do_minh69,fwWjZ7hY
CUST00029,Trần Thanh,Anh,anh.tran@example.com,0933063967,ACC00029,tran_anh96,GwdMaVo1
CUST00030,Đỗ Trung,Khánh,khanh.do@example.com,0980299597,ACC00030,do_khanh8,xKxx6wLz
CUST00031,Lê Hữu,Minh,minh.le@example.com,0935930781,ACC00031,le_minh85,oUHvdE0H
CUST00032,Đỗ Anh,Giang,giang.do@example.com,0960556690,ACC00032,do_giang56,yNkSPxw8
CUST00033,Hoàng Văn,Dũng,dung.hoang@example.com,0934336190,ACC00033,hoang_dung77,OP0BfPxm
